,Sermons,Dates,Description,Links
0,The Beauty Of Our Servant King ,24 November 2019,"Experience the tenderness, compassion, and beauty of the Servant King afresh! In this heartwarming message, Joseph Prince unveils the majesty and gentleness of Jesus like never before. Through the story of Blind Bartimaeus and a study of the law concerning Hebrew servants in Exodus 21, you will:


Discover how the Lord Jesus did not come to be served by you, but to serve you.
Break down the walls that have stopped you from enjoying His inexhaustible supply.
Find faith arising effortlessly as you see Him reaching out to you at your point of need.  
Be transformed from sickness to health, from depression to joy, from glory to glory.


Beloved, your life will never be the same when you encounter the Servant King and discover the unfathomable depths of His kindness toward you!",https://www.josephprince.com/sermons/the-beauty-of-our-servant-king?sku=20191124VJ
1,Wisdom For Financial Success ,17 November 2019,"God is interested in your financial success. In this revelation-packed message, you’ll discover God’s wisdom for handling your finances so that you can be a blessing to this world and a testimony of His glory. As Joseph Prince expounds on the parable of the Ten Servants in Luke 19 and the story of Joseph in the Old Testament, you’ll see how God wants you to receive His practical wisdom for money management so that you can:


Safeguard the welfare of your family and even generations to come. 

Be well-provided-for so that you can bless others generously.

Be an evident testimony of God’s goodness that inspires others to know Him.

Receive His reward when you steward the resources He has given you.


Begin to be an effective servant for God’s kingdom when you learn why and how He wants you to be financially successful!",https://www.josephprince.com/sermons/wisdom-for-financial-success?sku=20191117VJ
2,Divine Health And Ageing Backwards (Live @ Lakewood Church) ,3 November 2019,"No matter what the doctors have said, you don’t have to accept sickness or age-related conditions as a natural part of life. In this encouraging and faith-inspiring message, you’ll see how Jesus’ redemptive work at the cross includes supernatural healing, health, and restoration of youth for you! Discover how you can: 

Walk in divine health and youthfulness as you partake of the holy Communion.
Receive a new lease of life as you proclaim the victory of Jesus’ death.
Experience healing and restoration for your physical, mental, and emotional health.
Develop a confident expectation of good for your future, knowing that your best days are ahead of you.

As a child of God, you can believe that with every year that passes, you are getting healthier, stronger, and younger!",https://www.josephprince.com/sermons/divine-health-and-ageing-backwards-live-at-lakewood-church?sku=20191103VJ
3,Is The Bible Still Relevant Today? ,29 September 2019,"Is the Bible still relevant amid rapid technological advancements and the frantic pace of modern living? In this foundational message by Joseph Prince, see how the Word of God is more than just a book that dates back thousands of years—it is living, God-breathed inspiration that has the power to nourish you, guide you practically, and transform your life. Learn keys to help you apply the Scriptures in your daily life, and see how you can:


Experience health and healing as you soak yourself in God’s Word.

Wield the powerful weapon of the Word against the lies of the enemy.

Find the strength to rise above discouragement in the darkest times of your life. 

Grow from glory to glory as you behold Jesus’ beauty in the Word.


Beloved, you’ll never find anything more relevant or practical than the living Word of God!",https://www.josephprince.com/sermons/is-the-bible-still-relevant-today?sku=20190929VJ
4,Eat The Communion Fresh ,22 September 2019,"If partaking of the holy Communion has become just another mundane routine, then this message is for you! As Joseph Prince takes you through a study of the peace offering in the Old Testament, you&#039;ll see how eating this divine meal is not just an age-old ritual, but a powerful and intimate time of meeting with the Lord Jesus and receiving the benefits of His finished work. Learn truths that will help you:


Discover afresh the beauty and privilege of receiving the Communion.

Receive strength for every challenge as you feed on Jesus&#039; love for you at Calvary.

Replace your fears and anxieties with bold faith to receive your miracle.

Enjoy divine health and protection for your family, and live stress-free.


Beloved, every time you partake of the bread and the cup, the Lord is personally ministering to you. Let every opportunity to eat of this divine meal be a fresh reminder of His great love!",https://www.josephprince.com/sermons/eat-the-communion-fresh?sku=20190922VJ
5,Present Help In Times Of Trouble ,1 September 2019,"Do you feel overwhelmed by trials and troubles? As you walk through your darkest valley, know that God is your very present help. In this message by Joseph Prince, you’ll see how God is not just with you in your high moments, but He’s also with you in your low moments to bring you hope, strength, and deliverance. Through the stories of Abraham, Rahab, and more, you’ll discover how you can:

 

Believe that God is for you, with you, and will give you victory in every season.
Experience deliverance from fear, mind games, and depression.
Have a strong foundation of hope for your future even when the world seems bleak.
Expect to receive a double portion of restoration for every trouble you’re facing.

 

Beloved, no matter how dark your situation might seem, you can trust in God’s faithful love to see you through.",https://www.josephprince.com/sermons/present-help-in-times-of-trouble?sku=20190901VJ
6,Win The Battle Over Hopelessness ,25 August 2019,"Win the battle over hopelessness when you see how Jesus has secured a glorious future for you! If you’ve been struggling with anxieties about your future or grappling with regrets about your past, learn how God wants you to live life fearless and guiltless today. In this encouraging message by Joseph Prince, discover Bible truths that will help you:


Guard your heart and mind against negative thoughts.
Put an end to disappointment, discouragement, and depression.
Develop character and strength through every struggle.
Live with unshakable assurance that your best days are ahead of you.


Beloved, discover how hope in God’s steadfast promises can anchor your soul through every storm in life!",https://www.josephprince.com/sermons/win-the-battle-over-hopelessness?sku=20190825VJ
7,Answers For Dark Nights And Difficult Seasons ,18 August 2019,"God is always reaching out to you and working in your life—especially on dark nights and in difficult seasons. In this encouraging and faith-building message, Joseph Prince teaches from the lives of Abraham, Daniel, Solomon, and other heroes in the Bible who went through night seasons of their own...but were never alone. Learn how you can:


Experience the Lord’s all-encompassing peace in your depression and anxiety.
Get through sleepless nights and overcome overwhelming thoughts.
Receive practical wisdom and guidance for every unsolvable situation.
Catch a deeper revelation of God’s love for you as He turns your defeats into victories.


Beloved, don’t give up hope in your darkest seasons. What was meant for evil against you, the Lord will turn around for your good!",https://www.josephprince.com/sermons/answers-for-dark-nights-and-difficult-seasons?sku=20190818VJ
8,The Overflow Life For You! ,4 August 2019,"Imagine living every day filled and overflowing with God’s supply for your daily affairs—health for your body, joy for your relationships, provision for your family, guidance for your career, and strength for your ministry. In this foundational message by Joseph Prince, you will:


Discover what Jesus says is the “one thing needful” for you to live a God-supplied life.
Learn to draw from Jesus and His Word to find true fulfillment and satisfaction.
See how all of heaven’s resources are available to you and greater than all your needs.
Receive a revelation of how Jesus, the Servant King, wants to serve you before you serve Him.


Beloved, if you’re feeling overwhelmed by any challenge or situation, listen to this message and be filled till overflowing with the Lord’s love and supply for you!",https://www.josephprince.com/sermons/the-overflow-life-for-you?sku=20190804VJ
9,Live Out Your High Calling ,28 July 2019,"People of the world expect a high moral standard from us—and they should! As Christians, we are called to live a Christ-like life. In this practical and powerful message by Joseph Prince, learn how the key to living a life of moral excellence is to know your true identity in Christ.
Effortlessly become a walking testimony of God’s glory when you:

Catch the life-transforming revelation that as Jesus is, so are you.
Understand your identity as a “king-priest” in Christ.
Behold Jesus in all His perfection—His regality, servanthood, humility, and grace—and be transformed into His image.
Allow the Holy Spirit to direct you in your daily affairs.


Live out the victorious, glorious life that God has called you to live when you recognize who you truly are in Christ!",https://www.josephprince.com/sermons/live-out-your-high-calling?sku=20190728VJ
